country,contracts
Afghanistan,31.76
Albania,53.66
Algeria,55.49
Angola,26.26
Antigua and Barbuda,68.11
Argentina,64.81
Armenia,67.85
Australia,79.72
Austria,75.49
Azerbaijan,65.66
"Bahamas, The",59.43
Bahrain,54.53
Bangladesh,22.21
Bangladesh - Chittagong,22.21
Bangladesh - Dhaka,22.21
Barbados,38.02
Belarus,70.36
Belgium,64.25
Belize,50.11
Benin,36.34
Bhutan,65.36
Bolivia,49.72
Bosnia and Herzegovina,60.6
Botswana,50.95
Brazil,65.55
Brazil - Rio de Janeiro,67.25
Brazil - São Paulo,64.47
Brunei Darussalam,53.54
Bulgaria,67.04
Burkina Faso,41.05
Burundi,45.74
Cabo Verde,65.76
Cambodia,32.67
Cameroon,41.76
Canada,56.54
Central African Republic,30.46
Chad,44.58
Chile,62.81
China,77.98
China - Beijing,75.41
China - Shanghai,80.08
Colombia,32.43
Comoros,32.05
"Congo, Dem Rep",36.06
"Congo, Rep",43.99
Costa Rica,52.41
Cote d’Ivoire,52.97
Croatia,75.87
Cyprus,48.59
Czech Republic,60.36
Denmark,71.23
Djibouti,28.39
Dominica,59.17
Dominican Republic,51.03
Ecuador,56.68
"Egypt, Arab Rep",40.9
El Salvador,55.2
Equatorial Guinea,55.25
Eritrea,52.75
Estonia,75.16
Ethiopia,59.06
Fiji,58.44
Finland,69.4
France,73.04
Gabon,35.29
"Gambia, The",54.84
Georgia,73.21
Germany,73.72
Ghana,54
Greece,50.19
Grenada,59.33
Guatemala,34.55
Guinea,53.87
Guinea-Bissau,38.81
Guyana,57.62
Haiti,52.49
Honduras,45.54
"Hong Kong SAR, China",72.57
Hungary,70.05
Iceland,69.1
India,32.41
India - Delhi,32.41
India - Mumbai,32.41
Indonesia,35.37
Indonesia - Jakarta,36.08
Indonesia - Surabaya,32.86
"Iran, Islamic Rep",60
Iraq,48.94
Ireland,57.88
Israel,57.93
Italy,54.79
Jamaica,53.6
Japan,65.26
Japan - Osaka,65.26
Japan - Tokyo,65.26
Jordan,52.42
Kazakhstan,75.7
Kenya,58.27
Kiribati,53.39
"Korea, Rep",84.15
Kosovo,65.66
Kuwait,60.51
Kyrgyz Republic,48.57
Lao PDR,58.07
Latvia,71.66
Lebanon,51.7
Lesotho,57.18
Liberia,33.92
Libya,48.41
Lithuania,77.88
Luxembourg,73.32
"Macedonia, FYR",70.46
Madagascar,42.85
Malawi,47.09
Malaysia,66.61
Maldives,55.07
Mali,43.73
Malta,62.17
Marshall Islands,55.93
Mauritania,58.58
Mauritius,68.65
Mexico,65.69
Mexico - Mexico City,64.09
Mexico - Monterrey,73.51
"Micronesia, Fed Sts",29.39
Moldova,59.94
Mongolia,58.48
Montenegro,66.75
Morocco,62.34
Mozambique,27.32
Myanmar,24.53
Namibia,56.03
Nepal,45.26
Netherlands,59.94
New Zealand,74.25
Nicaragua,57.79
Niger,41.85
Nigeria,48.59
Nigeria - Kano,46.07
Nigeria - Lagos,49.34
Norway,77.14
Oman,61.55
Pakistan,43.49
Pakistan - Karachi,44.36
Pakistan - Lahore,41.86
Palau,52.21
Panama,48.1
Papua New Guinea,36.21
Paraguay,59.77
Peru,60.7
Philippines,49.24
Poland,63.44
Portugal,73.01
Puerto Rico US,56.13
Qatar,52.79
Romania,72.25
Russian Federation,75.78
Russian Federation - Moscow,76.26
Russian Federation - Saint Petersburg,74.66
Rwanda,53.06
Samoa,60.44
San Marino,59.25
São Tomé and Príncipe,31.21
Saudi Arabia,55.07
Senegal,48.15
Serbia,63.96
Seychelles,49.39
Sierra Leone,55.92
Singapore,83.61
Slovak Republic,58.92
Slovenia,52.97
Solomon Islands,44.63
Somalia,54.58
South Africa,54.1
South Sudan,59.91
Spain,67.63
Sri Lanka,39.31
St Kitts and Nevis,65.51
St Lucia,59.94
St Vincent and the Grenadines,63.66
Sudan,46.91
Suriname,25.94
Swaziland,33.94
Sweden,72.04
Switzerland,67.1
Syrian Arab Republic,42.58
"Taiwan, China",73.49
Tajikistan,63.49
Tanzania,61.66
Thailand,64.54
Timor-Leste,6.13
Togo,48.1
Tonga,57.32
Trinidad and Tobago,36.55
Tunisia,59.33
Turkey,68.87
Uganda,60.6
Ukraine,57.11
United Arab Emirates,71.37
United Kingdom,69.36
United States,72.61
United States - Los Angeles,62.93
United States - New York City,79.06
Uruguay,54.44
Uzbekistan,67.26
Vanuatu,51.13
"Venezuela, RB",48.97
Vietnam,60.22
West Bank and Gaza,52.51
"Yemen, Rep",48.52
Zambia,49.89
Zimbabwe,38.73
